Age Group,Month,Seasonally Adjusted Monthly Unemployment (Number)_Both sexes, _Male, _Female,Seasonally Adjusted Monthly Unemployment Rate (%)_Both sexes, _Male, _Female
25 - 74 years,1998M06,84.3,55.2,29.1,6.4,6.8,5.8
25 - 74 years,1998M07,83.7,54.7,29,6.4,6.7,5.8
25 - 74 years,1998M08,81.7,53.2,28.5,6.2,6.5,5.7
25 - 74 years,1998M09,80.2,52.1,28.1,6.1,6.4,5.6
25 - 74 years,1998M10,75.9,49.2,26.8,5.8,6,5.3
25 - 74 years,1998M11,72.2,46.8,25.4,5.5,5.7,5
25 - 74 years,1998M12,71.3,45.9,25.4,5.4,5.6,5
25 - 74 years,1999M01,71.3,45.4,25.9,5.3,5.5,5
25 - 74 years,1999M02,70.1,44.8,25.3,5.2,5.4,4.8
25 - 74 years,1999M03,69.9,44.7,25.2,5.2,5.4,4.8
25 - 74 years,1999M04,69.8,44.6,25.2,5.2,5.4,4.8
25 - 74 years,1999M05,69.6,44.7,24.9,5.1,5.4,4.7
25 - 74 years,1999M06,66.7,43,23.7,4.9,5.2,4.5
25 - 74 years,1999M07,63.9,41.1,22.8,4.7,4.9,4.3
25 - 74 years,1999M08,61.1,38.7,22.5,4.4,4.6,4.2
25 - 74 years,1999M09,61.8,38.4,23.5,4.5,4.6,4.3
25 - 74 years,1999M10,62.9,37.9,25.1,4.5,4.5,4.6
25 - 74 years,1999M11,61.9,37.3,24.6,4.4,4.4,4.5
25 - 74 years,1999M12,60.3,36.9,23.5,4.3,4.3,4.3
25 - 74 years,2000M01,57.6,36.2,21.4,4.1,4.3,3.9
25 - 74 years,2000M02,55.8,35.5,20.2,4,4.2,3.7
25 - 74 years,2000M03,54.8,34.7,20.1,3.9,4.1,3.6
25 - 74 years,2000M04,55.5,34.3,21.2,3.9,4,3.8
25 - 74 years,2000M05,54.7,33.6,21,3.9,3.9,3.7
25 - 74 years,2000M06,53.4,32.8,20.6,3.8,3.8,3.7
25 - 74 years,2000M07,51.4,31.9,19.5,3.6,3.7,3.5
25 - 74 years,2000M08,49.8,31.3,18.6,3.5,3.6,3.3
25 - 74 years,2000M09,47.9,30.5,17.4,3.4,3.5,3.1
25 - 74 years,2000M10,46.1,29.8,16.3,3.2,3.4,2.9
25 - 74 years,2000M11,45.6,29.4,16.2,3.2,3.4,2.8
25 - 74 years,2000M12,45.5,28.9,16.7,3.2,3.3,2.9
25 - 74 years,2001M01,45.9,28.2,17.7,3.2,3.2,3.1
25 - 74 years,2001M02,45.3,27.5,17.8,3.1,3.1,3.1
25 - 74 years,2001M03,44.8,27.2,17.5,3.1,3.1,3
25 - 74 years,2001M04,43.8,27.1,16.7,3,3.1,2.9
25 - 74 years,2001M05,44.1,27.3,16.8,3,3.1,2.9
25 - 74 years,2001M06,45.5,27.9,17.6,3.1,3.2,3
25 - 74 years,2001M07,48.2,29.2,19,3.2,3.3,3.2
25 - 74 years,2001M08,49.7,30.2,19.5,3.3,3.4,3.2
25 - 74 years,2001M09,50,31,19,3.3,3.5,3.2
25 - 74 years,2001M10,49.4,31.6,17.9,3.3,3.5,3
25 - 74 years,2001M11,50.3,32.7,17.5,3.3,3.7,2.9
25 - 74 years,2001M12,49.1,32.2,16.9,3.3,3.6,2.8
25 - 74 years,2002M01,50.5,32.8,17.7,3.4,3.7,2.9
25 - 74 years,2002M02,51.5,33.4,18.1,3.4,3.7,2.9
25 - 74 years,2002M03,52.8,33.8,19,3.5,3.8,3.1
25 - 74 years,2002M04,52.6,33.5,19.1,3.5,3.7,3.1
25 - 74 years,2002M05,53.1,33.8,19.4,3.5,3.7,3.1
25 - 74 years,2002M06,53,33.5,19.4,3.5,3.7,3.1
25 - 74 years,2002M07,51.6,33,18.6,3.4,3.7,3
25 - 74 years,2002M08,52.4,33.5,18.9,3.4,3.7,3
25 - 74 years,2002M09,55.7,35.4,20.2,3.6,3.9,3.2
25 - 74 years,2002M10,60.2,37.8,22.4,3.9,4.2,3.6
25 - 74 years,2002M11,63.1,39.6,23.5,4.1,4.4,3.7
25 - 74 years,2002M12,62.3,39.2,23.1,4,4.3,3.7
25 - 74 years,2003M01,58.9,37.7,21.3,3.8,4.1,3.4
25 - 74 years,2003M02,56.8,36.6,20.2,3.7,4,3.2
25 - 74 years,2003M03,55.6,36,19.6,3.6,3.9,3.1
25 - 74 years,2003M04,56.2,36.1,20.1,3.6,3.9,3.2
25 - 74 years,2003M05,56.2,36.3,19.9,3.6,3.9,3.1
25 - 74 years,2003M06,58.1,37.3,20.8,3.7,4,3.3
25 - 74 years,2003M07,60.4,38.7,21.7,3.9,4.2,3.4
25 - 74 years,2003M08,61.1,39.1,22,3.9,4.2,3.4
25 - 74 years,2003M09,60.1,38.5,21.6,3.8,4.2,3.4
25 - 74 years,2003M10,57.3,36.8,20.4,3.6,4,3.2
25 - 74 years,2003M11,56.8,36.8,20.1,3.6,3.9,3.1
25 - 74 years,2003M12,58.5,37.7,20.8,3.7,4,3.2
25 - 74 years,2004M01,62.9,40.2,22.7,3.9,4.3,3.5
25 - 74 years,2004M02,64.4,41.3,23,4,4.4,3.5
25 - 74 years,2004M03,64,41.8,22.2,4,4.4,3.4
25 - 74 years,2004M04,60.9,40.6,20.3,3.8,4.3,3.1
25 - 74 years,2004M05,58.8,39.7,19.1,3.6,4.2,2.9
25 - 74 years,2004M06,55.7,38.1,17.6,3.5,4,2.7
25 - 74 years,2004M07,54.1,36.9,17.1,3.3,3.9,2.6
25 - 74 years,2004M08,53.6,36.2,17.4,3.3,3.8,2.6
25 - 74 years,2004M09,55.3,36.8,18.5,3.4,3.8,2.8
25 - 74 years,2004M10,58.7,38,20.6,3.6,3.9,3.1
25 - 74 years,2004M11,59.3,38.1,21.2,3.6,3.9,3.1
25 - 74 years,2004M12,59.1,37.4,21.6,3.6,3.8,3.2
25 - 74 years,2005M01,56.2,35.5,20.6,3.4,3.6,3
25 - 74 years,2005M02,55.5,34.9,20.6,3.3,3.6,3
25 - 74 years,2005M03,58.7,36.7,22,3.5,3.7,3.2
25 - 74 years,2005M04,63,39.5,23.5,3.7,4,3.4
25 - 74 years,2005M05,65.8,41.3,24.5,3.9,4.1,3.5
25 - 74 years,2005M06,65.2,40.9,24.3,3.8,4.1,3.4
25 - 74 years,2005M07,63.3,39.4,23.9,3.7,3.9,3.4
25 - 74 years,2005M08,61.8,38.2,23.6,3.6,3.8,3.3
25 - 74 years,2005M09,60,37.1,22.9,3.5,3.7,3.2
25 - 74 years,2005M10,59.4,36.4,23,3.4,3.6,3.2
25 - 74 years,2005M11,60.3,36.5,23.8,3.5,3.6,3.3
25 - 74 years,2005M12,61.3,36.9,24.4,3.5,3.6,3.4
25 - 74 years,2006M01,63.3,38.2,25.1,3.6,3.7,3.4
25 - 74 years,2006M02,63.4,38.3,25.1,3.6,3.7,3.4
25 - 74 years,2006M03,63.5,38.4,25.1,3.6,3.7,3.4
25 - 74 years,2006M04,63.3,38.5,24.8,3.6,3.7,3.4
25 - 74 years,2006M05,64.2,39.2,25,3.6,3.8,3.4
25 - 74 years,2006M06,66.3,40.1,26.2,3.7,3.9,3.5
25 - 74 years,2006M07,68.8,41.8,27,3.8,4,3.6
25 - 74 years,2006M08,70.8,42.9,27.9,3.9,4.1,3.7
25 - 74 years,2006M09,68.6,42.6,26,3.8,4.1,3.5
25 - 74 years,2006M10,66.3,41.8,24.6,3.7,4,3.3
25 - 74 years,2006M11,66,41.6,24.4,3.6,3.9,3.2
25 - 74 years,2006M12,67.1,42,25.1,3.7,4,3.3
25 - 74 years,2007M01,68.1,41.7,26.4,3.7,3.9,3.4
25 - 74 years,2007M02,69.6,42.6,27,3.8,4,3.5
25 - 74 years,2007M03,69.2,42.3,26.9,3.7,3.9,3.5
25 - 74 years,2007M04,69.4,41.6,27.8,3.7,3.9,3.5
25 - 74 years,2007M05,69.3,41.3,28,3.7,3.8,3.6
25 - 74 years,2007M06,69.9,41.5,28.4,3.7,3.8,3.6
25 - 74 years,2007M07,69.7,42,27.7,3.7,3.9,3.5
25 - 74 years,2007M08,70.3,43.2,27.1,3.7,4,3.4
25 - 74 years,2007M09,71.8,45.1,26.7,3.8,4.2,3.4
25 - 74 years,2007M10,74.4,47.7,26.7,3.9,4.4,3.3
25 - 74 years,2007M11,77.4,50.4,26.9,4.1,4.6,3.4
25 - 74 years,2007M12,77.4,50.6,26.8,4.1,4.6,3.3
25 - 74 years,2008M01,76.8,51.2,25.6,4,4.7,3.2
25 - 74 years,2008M02,76.5,51.7,24.8,4,4.7,3.1
25 - 74 years,2008M03,79.9,53.5,26.4,4.2,4.9,3.3
25 - 74 years,2008M04,81.6,54.8,26.8,4.3,5,3.3
25 - 74 years,2008M05,85.8,57.6,28.2,4.5,5.2,3.5
25 - 74 years,2008M06,91.7,61.8,29.9,4.8,5.6,3.7
25 - 74 years,2008M07,99.3,67.3,32,5.2,6.1,3.9
25 - 74 years,2008M08,106.1,72.4,33.7,5.5,6.6,4.1
25 - 74 years,2008M09,111.1,76.2,34.9,5.8,6.9,4.3
25 - 74 years,2008M10,117.7,81.1,36.6,6.1,7.3,4.4
25 - 74 years,2008M11,125.6,87.7,38,6.5,7.9,4.6
25 - 74 years,2008M12,134.2,94.3,39.9,7,8.6,4.9
25 - 74 years,2009M01,152.6,108.5,44.1,8,9.9,5.4
25 - 74 years,2009M02,166.4,119.7,46.8,8.7,11,5.7
25 - 74 years,2009M03,177.8,128.7,49.1,9.3,11.8,6
25 - 74 years,2009M04,186.4,135.7,50.7,9.8,12.4,6.2
25 - 74 years,2009M05,193,140.6,52.4,10.1,12.9,6.4
25 - 74 years,2009M06,195.4,142.3,53.1,10.2,13.1,6.4
25 - 74 years,2009M07,199.4,143.2,56.2,10.4,13.2,6.8
25 - 74 years,2009M08,204.6,145.2,59.4,10.7,13.4,7.1
25 - 74 years,2009M09,210.8,148.4,62.4,11,13.7,7.5
25 - 74 years,2009M10,209.4,148.3,61.1,11,13.7,7.4
25 - 74 years,2009M11,210.4,150,60.3,11,13.9,7.3
25 - 74 years,2009M12,209.3,150,59.2,11,14,7.2
25 - 74 years,2010M01,211.5,152.4,59.1,11.1,14.2,7.1
25 - 74 years,2010M02,211.1,152,59.1,11.1,14.2,7.1
25 - 74 years,2010M03,214.8,153.7,61.2,11.3,14.3,7.3
25 - 74 years,2010M04,224.5,156.2,68.3,11.7,14.5,8.1
25 - 74 years,2010M05,229.5,158.5,71,12,14.7,8.4
25 - 74 years,2010M06,228.3,159.1,69.2,11.9,14.8,8.3
25 - 74 years,2010M07,227.1,160.1,67,11.9,14.9,8
25 - 74 years,2010M08,231,162.8,68.2,12.1,15.1,8.1
25 - 74 years,2010M09,237.6,167.1,70.5,12.4,15.5,8.4
25 - 74 years,2010M10,244.2,170.8,73.4,12.8,15.9,8.8
25 - 74 years,2010M11,246.7,172.1,74.6,12.9,16,8.9
25 - 74 years,2010M12,248.3,173.1,75.1,13,16.1,9
25 - 74 years,2011M01,241.8,168,73.8,12.7,15.7,8.8
25 - 74 years,2011M02,238.1,165.4,72.7,12.5,15.5,8.7
25 - 74 years,2011M03,238.7,165.3,73.4,12.5,15.5,8.7
25 - 74 years,2011M04,240.3,166.3,74,12.5,15.5,8.7
25 - 74 years,2011M05,243.5,167.6,75.9,12.6,15.6,8.9
25 - 74 years,2011M06,246.2,169.3,76.9,12.8,15.8,9
25 - 74 years,2011M07,250.5,170.1,80.4,13,15.9,9.5
25 - 74 years,2011M08,250,170.4,79.6,13,15.9,9.4
25 - 74 years,2011M09,253.3,170.9,82.4,13.2,16,9.7
25 - 74 years,2011M10,253.2,172.5,80.7,13.2,16.1,9.5
25 - 74 years,2011M11,254.5,173.2,81.4,13.2,16.1,9.5
25 - 74 years,2011M12,255.3,173.3,82,13.2,16.1,9.6
25 - 74 years,2012M01,256.7,173.1,83.5,13.3,16.1,9.8
25 - 74 years,2012M02,255.6,172.4,83.2,13.3,16.1,9.7
25 - 74 years,2012M03,252.3,171,81.3,13.1,16,9.5
25 - 74 years,2012M04,247,168.9,78.2,12.9,15.8,9.2
25 - 74 years,2012M05,244,167.3,76.6,12.7,15.7,9
25 - 74 years,2012M06,244.6,167.8,76.8,12.8,15.7,9
25 - 74 years,2012M07,246.1,168.6,77.5,12.8,15.8,9.1
25 - 74 years,2012M08,247.9,168.9,79,12.9,15.8,9.3
25 - 74 years,2012M09,247.4,167.6,79.8,12.9,15.7,9.4
25 - 74 years,2012M10,245.9,166.7,79.3,12.8,15.6,9.3
25 - 74 years,2012M11,243.9,163.9,80.1,12.7,15.3,9.3
25 - 74 years,2012M12,241.1,160.4,80.7,12.5,15,9.4
25 - 74 years,2013M01,237.4,155.5,81.8,12.3,14.5,9.5
25 - 74 years,2013M02,235,152.7,82.4,12.2,14.3,9.6
25 - 74 years,2013M03,234.6,151.4,83.3,12.1,14.1,9.7
25 - 74 years,2013M04,236.4,151.1,85.3,12.2,14.1,9.9
25 - 74 years,2013M05,234.7,150.6,84.1,12.1,14,9.7
25 - 74 years,2013M06,230.8,148.8,82,11.9,13.8,9.5
25 - 74 years,2013M07,223.4,146.3,77.1,11.5,13.6,8.9
25 - 74 years,2013M08,218.4,143.1,75.3,11.2,13.3,8.7
25 - 74 years,2013M09,215.7,140.2,75.5,11.1,13,8.7
25 - 74 years,2013M10,213.1,136.4,76.7,10.9,12.6,8.8
25 - 74 years,2013M11,212,134.2,77.8,10.8,12.4,8.9
25 - 74 years,2013M12,211.1,133.5,77.6,10.8,12.3,8.9
25 - 74 years,2014M01,211.3,134,77.3,10.8,12.4,8.9
25 - 74 years,2014M02,209.9,134.2,75.7,10.7,12.4,8.7
25 - 74 years,2014M03,207.2,133.2,74,10.6,12.3,8.5
25 - 74 years,2014M04,201.3,131.8,69.5,10.3,12.2,8
25 - 74 years,2014M05,198.4,129.7,68.7,10.2,12,7.9
25 - 74 years,2014M06,196.3,127,69.3,10.1,11.8,8
25 - 74 years,2014M07,196.1,124.3,71.8,10.1,11.5,8.2
25 - 74 years,2014M08,194.6,121.7,73,10,11.3,8.4
25 - 74 years,2014M09,191.2,118.8,72.4,9.8,11,8.3
25 - 74 years,2014M10,186.1,116.3,69.9,9.5,10.8,8
25 - 74 years,2014M11,181.3,114.1,67.2,9.3,10.6,7.7
25 - 74 years,2014M12,178.1,112.6,65.5,9.1,10.4,7.5
25 - 74 years,2015M01,175.5,111.4,64.1,9,10.3,7.3
25 - 74 years,2015M02,173.1,110,63,8.8,10.2,7.2
25 - 74 years,2015M03,170.5,108.5,62,8.7,10,7.1
25 - 74 years,2015M04,169.3,106.5,62.7,8.6,9.8,7.1
25 - 74 years,2015M05,166.6,104.6,62,8.5,9.6,7
25 - 74 years,2015M06,163.6,103,60.6,8.3,9.5,6.9
25 - 74 years,2015M07,159.4,101.2,58.2,8.1,9.3,6.6
25 - 74 years,2015M08,157.8,101.5,56.3,8,9.3,6.4
25 - 74 years,2015M09,158.2,102.7,55.5,8,9.4,6.3
25 - 74 years,2015M10,160.2,104.4,55.8,8.1,9.6,6.3
25 - 74 years,2015M11,160.1,105.2,54.9,8.1,9.7,6.2
25 - 74 years,2015M12,158,104.1,53.9,8,9.6,6.1
25 - 74 years,2016M01,151.1,99.1,52,7.7,9.1,5.9
25 - 74 years,2016M02,147.9,96.7,51.2,7.5,8.9,5.8
25 - 74 years,2016M03,146.6,94.9,51.7,7.4,8.7,5.8
25 - 74 years,2016M04,146.7,93.5,53.2,7.4,8.6,6
25 - 74 years,2016M05,145.8,92.5,53.3,7.4,8.5,6
25 - 74 years,2016M06,144.3,90.9,53.3,7.3,8.4,6
25 - 74 years,2016M07,140.7,89.7,51,7.1,8.2,5.7
25 - 74 years,2016M08,137.7,87.5,50.2,6.9,8,5.6
25 - 74 years,2016M09,130.4,82.4,48.1,6.6,7.6,5.4
25 - 74 years,2016M10,124.5,77.1,47.4,6.3,7.1,5.3
25 - 74 years,2016M11,121.4,73.9,47.5,6.1,6.8,5.3
25 - 74 years,2016M12,120.9,73.2,47.7,6.1,6.7,5.3
25 - 74 years,2017M01,121.8,73.9,47.8,6.1,6.7,5.3
25 - 74 years,2017M02,122.3,74.5,47.8,6.1,6.8,5.3
25 - 74 years,2017M03,120.6,73.3,47.3,6,6.7,5.2
25 - 74 years,2017M04,117.8,72.5,45.3,5.9,6.6,5
25 - 74 years,2017M05,116.7,71.9,44.8,5.8,6.5,5
25 - 74 years,2017M06,115.4,71.2,44.2,5.8,6.5,4.9
